id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0074,Perú,20,F,Sacsayhuamán,Cusco,2025-03-02,1,1481.22,Tren
V0075,España,68,Otro,Parque de la Reserva,Lima,2025-07-23,12,1369.08,
V0076,Perú,75,M,Río Amazonas,Iquitos,2025-05-22,2,3374.06,
V0077,Perú,42,Otro,Plaza de Armas,Arequipa,2025-08-31,8,4084.14,Auto
V0078,Brasil,56,Otro,Sacsayhuamán,Cusco,2025-01-23,6,3822.36,Auto
V0079,Brasil,71,F,Huaca Pucllana,Lima,2025-01-12,4,314.53,Bus
V0080,Argentina,68,M,Monasterio de Santa Catalina,Arequipa,2025-07-18,11,4272.53,Mototaxi
V0081,México,80,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-01-13,3,4809.46,Auto
V0082,Brasil,46,F,Huaca Pucllana,Lima,2025-01-19,9,3215.17,NA
V0083,NA,48,Otro,Parque de la Reserva,Lima,2025-07-19,8,468.05,NA
V0084,Colombia,76,Otro,Taquile,Puno,2025-09-19,13,3040.48,Mototaxi
V0085,Brasil,47,M,Parque de la Reserva,Lima,2025-04-26,1,1895.35,Mototaxi
V0086,Perú,20,Otro,Sacsayhuamán,Cusco,2025-04-08,1,4354.9,Tren
V0087,Estados Unidos,58,M,Parque de la Reserva,Lima,2025-03-01,6,2894.99,Avión
V0088,Estados Unidos,37,M,Lago Titicaca,Puno,2025-08-29,14,1740.44,Auto
V0089,España,38,Otro,Monasterio de Santa Catalina,Arequipa,2025-06-22,13,4371.36,Avión
V0090,Perú,62,Otro,Sacsayhuamán,Cusco,2025-01-04,1,1179.05,Tren
V0091,España,17,Otro,Parque de la Reserva,Lima,2025-02-16,13,4965.2,Mototaxi
V0092,Argentina,25,M,Barranco,Lima,2025-01-06,9,574.79,NA
V0093,Perú,69,Otro,Huaca Pucllana,Lima,2025-09-28,3,1784.12,NA
V0094,NA,47,F,Lago Titicaca,Puno,2025-06-10,10,539.92,Mototaxi
V0095,Chile,59,F,Valle Sagrado,Cusco,2025-03-19,12,1332.49,Mototaxi
V0096,Brasil,32,Otro,Cañón del Colca,Arequipa,2025-05-30,4,230.54,NA
V0097,Brasil,67,F,Huaca Pucllana,Lima,2025-07-23,14,1806.87,Auto
V0098,Chile,70,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-02-13,3,1960.81,Avión
V0099,Perú,53,M,Islas Flotantes Uros,Puno,2025-05-13,11,3752.5,NA
V0100,México,30,M,Sacsayhuamán,Cusco,2025-07-07,6,616.53,Avión
V0101,Brasil,63,M,Malecón Tarapacá,Iquitos,2025-09-03,8,1303.62,NA
V0102,Argentina,41,F,Parque de la Reserva,Lima,2025-05-31,5,1334.13,
V0103,Chile,66,Otro,Valle Sagrado,Cusco,2025-06-30,1,4049.23,Tren
V0104,Colombia,45,F,Plaza de Armas,Arequipa,2025-05-27,5,2840.63,Mototaxi
V0105,Colombia,67,F,Huaca Pucllana,Lima,2025-09-02,3,546.87,NA
V0106,España,25,F,Taquile,Puno,2025-01-06,1,2472.99,
V0107,Brasil,31,F,Cañón del Colca,Arequipa,2025-02-02,8,2996.92,
V0108,Estados Unidos,26,M,Reserva Nacional Pacaya Samiria,Iquitos,2025-09-22,12,836.26,Auto
V0109,México,63,M,Huaca Pucllana,Lima,2025-07-26,3,4408.9,Mototaxi
V0110,México,28,F,Parque de la Reserva,Lima,2025-01-05,10,4327.41,
V0111,Argentina,17,Otro,Río Amazonas,Iquitos,2025-09-16,1,3278.79,
V0112,Chile,29,F,Valle Sagrado,Cusco,2025-03-17,1,3640.86,
V0113,Chile,75,M,Río Amazonas,Iquitos,2025-05-13,2,2309.2,Auto
V0114,Argentina,16,Otro,Sacsayhuamán,Cusco,2025-01-24,8,4743.67,Mototaxi
V0115,España,52,F,Monasterio de Santa Catalina,Arequipa,2025-02-19,3,1095.49,Avión
V0116,Estados Unidos,20,M,Sacsayhuamán,Cusco,2025-01-19,3,4142.85,Mototaxi
V0117,Colombia,50,M,Lago Titicaca,Puno,2025-06-18,10,1075.0,Tren
V0118,Estados Unidos,53,M,Monasterio de Santa Catalina,Arequipa,2025-04-13,11,4961.05,
V0119,Brasil,38,Otro,Taquile,Puno,2025-05-04,14,4168.69,Tren
V0120,México,20,F,Cañón del Colca,Arequipa,2025-07-04,1,3316.12,Auto
V0121,Chile,22,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-03-03,5,4307.79,Bus
V0122,Estados Unidos,60,Otro,Río Amazonas,Iquitos,2025-09-13,11,2294.4,Mototaxi
V0123,Brasil,60,Otro,Lago Titicaca,Puno,2025-03-16,10,2481.72,Avión
V0124,NA,57,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-06-12,,,Bus
V0125,Estados Unidos,67,F,Cañón del Colca,Arequipa,2025-01-27,7,4339.62,Tren
V0126,España,16,M,Barranco,Lima,2025-02-04,1,826.63,Mototaxi
V0127,Argentina,66,Otro,Valle Sagrado,Cusco,2025-03-12,6,4348.6,Tren
V0128,México,79,M,Río Amazonas,Iquitos,2025-07-08,7,3171.42,NA
V0129,Argentina,60,Otro,Barranco,Lima,2025-08-14,,,Bus
V0130,España,26,Otro,Plaza de Armas,Arequipa,2025-09-25,10,3376.23,
V0131,España,78,Otro,Barranco,Lima,2025-09-19,10,4334.11,Tren
V0132,Chile,24,M,Islas Flotantes Uros,Puno,2025-03-05,7,4230.54,Avión
V0133,Brasil,62,M,Barranco,Lima,2025-03-17,1,1488.75,
V0134,México,55,Otro,Sacsayhuamán,Cusco,2025-02-17,4,1078.44,Tren
V0135,Perú,31,F,Valle Sagrado,Cusco,2025-05-10,2,1523.61,Tren
V0136,Estados Unidos,69,F,Reserva Nacional Pacaya Samiria,Iquitos,2025-09-16,10,611.68,Avión
V0137,Chile,32,F,Lago Titicaca,Puno,2025-08-09,5,4752.55,Tren
V0138,México,21,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-03-06,11,714.74,Tren
V0139,España,23,Otro,Río Amazonas,Iquitos,2025-05-19,1,967.85,Tren
V0140,Perú,31,F,Cañón del Colca,Arequipa,2025-08-15,10,3139.75,Avión
V0141,Perú,31,M,Machu Picchu,Cusco,2025-08-14,13,2761.87,
V0142,Chile,32,M,Machu Picchu,Cusco,2025-02-26,12,3047.76,NA
V0143,Argentina,44,F,Taquile,Puno,2025-08-27,5,3640.55,NA
V0144,Brasil,24,F,Plaza de Armas,Arequipa,2025-06-15,9,1326.06,Tren
V0145,NA,55,F,Reserva Nacional Pacaya Samiria,Iquitos,2025-08-07,2,1011.73,
V0146,Perú,41,Otro,Lago Titicaca,Puno,2025-04-03,8,3817.97,Tren
V0147,Argentina,77,M,Islas Flotantes Uros,Puno,2025-07-30,4,490.92,
V0148,Brasil,74,M,Río Amazonas,Iquitos,2025-09-02,,,Avión
V0149,México,27,F,Taquile,Puno,2025-05-22,12,2320.76,Bus
V0150,Colombia,66,Otro,Parque de la Reserva,Lima,2025-09-29,13,3119.28,Tren
V0151,Brasil,,F,Taquile,Puno,2025-02-11,2,3835.55,Tren
V0152,Estados Unidos,29,M,Huaca Pucllana,Lima,2025-06-02,9,3920.97,
V0153,NA,64,M,Plaza de Armas,Arequipa,2025-03-10,10,4290.63,NA
V0154,NA,39,F,Malecón Tarapacá,Iquitos,2025-01-09,1,3741.93,Avión
V0155,Perú,19,F,Sacsayhuamán,Cusco,2025-01-03,2,330.95,
V0156,Argentina,19,M,Machu Picchu,Cusco,2025-07-21,4,338.0,Mototaxi
V0157,España,66,M,Barranco,Lima,2025-06-06,5,2998.0,Avión
V0158,Perú,79,F,Cañón del Colca,Arequipa,2025-06-03,11,2044.19,Avión
V0159,Brasil,15,Otro,Taquile,Puno,2025-04-22,9,685.0,Bus
V0160,NA,,M,Huaca Pucllana,Lima,2025-02-19,6,1083.98,Bus
V0161,Colombia,70,F,Taquile,Puno,2025-07-11,3,1688.27,Bus
V0162,Colombia,19,M,Islas Flotantes Uros,Puno,2025-08-30,5,4261.27,Mototaxi
V0163,Perú,27,F,Lago Titicaca,Puno,2025-03-31,13,2568.57,
V0164,México,67,Otro,Huaca Pucllana,Lima,2025-03-10,10,2161.87,
V0165,México,45,Otro,Parque de la Reserva,Lima,2025-03-22,3,2601.37,Auto
V0166,NA,34,M,Malecón Tarapacá,Iquitos,2025-05-18,5,1922.07,Tren
V0167,NA,18,F,Malecón Tarapacá,Iquitos,2025-01-07,1,596.93,
V0168,Estados Unidos,54,F,Machu Picchu,Cusco,2025-04-07,2,2026.66,Tren
V0169,Estados Unidos,36,M,Valle Sagrado,Cusco,2025-08-27,5,852.98,
V0170,NA,54,M,Malecón Tarapacá,Iquitos,2025-05-27,3,1734.3,Mototaxi
V0171,Brasil,59,F,Valle Sagrado,Cusco,2025-02-15,2,3591.77,Auto
V0172,Estados Unidos,28,F,Plaza de Armas,Arequipa,2025-07-08,11,1426.4,Bus
V0173,España,33,M,Río Amazonas,Iquitos,2025-09-23,3,922.05,Tren
V0174,Estados Unidos,33,Otro,Cañón del Colca,Arequipa,2025-01-24,9,4470.65,Bus
V0175,Estados Unidos,51,M,Sacsayhuamán,Cusco,2025-08-16,5,4090.88,Tren
V0176,Chile,63,Otro,Barranco,Lima,2025-08-21,8,2663.61,Mototaxi
V0177,NA,32,F,Malecón Tarapacá,Iquitos,2025-06-21,3,3315.29,Mototaxi
V0178,España,41,M,Parque de la Reserva,Lima,2025-01-16,9,2292.07,Auto
V0179,Brasil,74,M,Machu Picchu,Cusco,2025-07-23,11,3483.69,Bus
V0180,España,38,Otro,Monasterio de Santa Catalina,Arequipa,2025-08-12,3,3421.45,Avión
V0181,NA,71,M,Islas Flotantes Uros,Puno,2025-05-16,12,1297.7,Bus
V0182,Estados Unidos,63,M,Valle Sagrado,Cusco,2025-02-05,14,4789.28,Avión
V0183,Estados Unidos,37,Otro,Río Amazonas,Iquitos,2025-09-20,8,2248.88,
V0184,Colombia,49,Otro,Islas Flotantes Uros,Puno,2025-05-15,7,3968.91,Auto
V0185,NA,73,F,Río Amazonas,Iquitos,2025-05-02,6,906.54,Auto
V0186,México,52,F,Malecón Tarapacá,Iquitos,2025-07-22,6,454.15,Avión
V0187,Brasil,78,M,Huaca Pucllana,Lima,2025-07-06,7,3167.91,Auto
V0188,Colombia,79,Otro,Barranco,Lima,2025-03-11,8,2516.12,Mototaxi
V0189,Argentina,74,F,Barranco,Lima,2025-03-07,1,832.34,Auto
V0190,Estados Unidos,71,M,Huaca Pucllana,Lima,2025-09-15,6,248.0,NA
V0191,Argentina,49,F,Monasterio de Santa Catalina,Arequipa,2025-06-06,12,1372.71,NA
V0192,Estados Unidos,70,Otro,Lago Titicaca,Puno,2025-03-21,12,2446.4,Avión
V0193,Colombia,22,Otro,Taquile,Puno,2025-06-25,,,Avión
V0194,Colombia,24,F,Lago Titicaca,Puno,2025-09-17,2,4356.32,
V0195,Chile,49,M,Malecón Tarapacá,Iquitos,2025-07-08,13,3992.59,
V0196,Estados Unidos,75,F,Huaca Pucllana,Lima,2025-08-24,5,494.55,NA
V0197,Argentina,58,F,Cañón del Colca,Arequipa,2025-06-17,9,2530.62,
V0198,Chile,56,F,Malecón Tarapacá,Iquitos,2025-01-02,3,2156.33,Tren
V0199,Brasil,75,M,Islas Flotantes Uros,Puno,2025-09-17,1,2534.61,
V0200,España,60,F,Cañón del Colca,Arequipa,2025-04-23,9,488.35,NA
V0201,Estados Unidos,33,Otro,Valle Sagrado,Cusco,2025-02-27,3,3517.33,Mototaxi
V0202,Estados Unidos,46,Otro,Río Amazonas,Iquitos,2025-09-18,7,4417.05,Bus
V0203,Argentina,72,M,Barranco,Lima,2025-01-05,9,4523.85,Auto
V0204,México,29,M,Barranco,Lima,2025-05-29,13,4424.32,
V0205,NA,48,F,Sacsayhuamán,Cusco,2025-02-27,12,4274.82,
V0206,Colombia,41,Otro,Río Amazonas,Iquitos,2025-05-27,7,1142.05,
V0207,Colombia,18,M,Plaza de Armas,Arequipa,2025-04-17,12,1422.73,Mototaxi
V0208,Chile,69,Otro,Malecón Tarapacá,Iquitos,2025-07-25,14,401.69,Avión
V0209,Chile,60,F,Barranco,Lima,2025-05-12,12,3079.17,Auto
V0210,Estados Unidos,37,M,Parque de la Reserva,Lima,2025-06-07,13,743.67,Tren
V0211,México,36,M,Parque de la Reserva,Lima,2025-09-01,13,680.11,NA
V0212,Chile,26,Otro,Cañón del Colca,Arequipa,2025-07-08,,,Mototaxi
V0213,Estados Unidos,73,M,Sacsayhuamán,Cusco,2025-05-27,4,4905.25,Avión
V0214,Colombia,45,F,Plaza de Armas,Arequipa,2025-01-11,4,1732.17,NA
V0215,Argentina,24,F,Cañón del Colca,Arequipa,2025-04-11,11,3222.59,Auto
V0216,Brasil,49,Otro,Cañón del Colca,Arequipa,2025-07-19,1,1045.42,Avión
V0217,Brasil,47,Otro,Malecón Tarapacá,Iquitos,2025-09-15,5,946.93,NA
V0218,España,34,M,Islas Flotantes Uros,Puno,2025-08-05,6,844.62,Mototaxi
V0219,NA,33,M,Huaca Pucllana,Lima,2025-03-08,9,4073.61,Auto
V0220,España,24,M,Río Amazonas,Iquitos,2025-03-29,14,1043.19,Tren
V0221,Argentina,64,F,Machu Picchu,Cusco,2025-04-09,,,Auto
V0222,México,33,M,Islas Flotantes Uros,Puno,2025-09-02,10,2141.9,Auto
V0223,Argentina,44,Otro,Machu Picchu,Cusco,2025-04-20,4,379.67,NA
V0224,Estados Unidos,40,F,Río Amazonas,Iquitos,2025-02-07,10,3063.31,Auto
V0225,Perú,45,Otro,Plaza de Armas,Arequipa,2025-08-08,14,2401.93,Tren
V0226,Argentina,75,F,Parque de la Reserva,Lima,2025-04-27,5,4505.75,Bus
V0227,Estados Unidos,35,Otro,Valle Sagrado,Cusco,2025-02-18,13,2272.46,NA
V0228,Perú,73,F,Barranco,Lima,2025-02-26,3,1488.12,Bus
V0229,Perú,75,Otro,Río Amazonas,Iquitos,2025-04-21,10,518.15,Auto
V0230,Estados Unidos,28,M,Huaca Pucllana,Lima,2025-05-23,8,2919.84,Mototaxi
V0231,NA,56,Otro,Monasterio de Santa Catalina,Arequipa,2025-04-19,3,3622.49,
V0232,Chile,68,Otro,Lago Titicaca,Puno,2025-06-29,10,3799.71,
V0233,NA,35,M,Barranco,Lima,2025-05-06,1,2019.29,Avión
V0234,Brasil,66,F,Cañón del Colca,Arequipa,2025-03-27,7,4391.12,Bus
V0235,Brasil,72,F,Malecón Tarapacá,Iquitos,2025-07-06,2,2214.57,NA
V0236,NA,47,F,Islas Flotantes Uros,Puno,2025-06-10,13,3302.28,Tren
V0237,Argentina,53,M,Sacsayhuamán,Cusco,2025-05-07,6,3720.63,Tren
V0238,Colombia,53,Otro,Cañón del Colca,Arequipa,2025-05-04,12,1738.12,NA
V0239,Brasil,48,Otro,Monasterio de Santa Catalina,Arequipa,2025-03-01,5,848.63,Avión
V0240,NA,65,M,Taquile,Puno,2025-08-22,,,Bus
V0241,Brasil,21,M,Reserva Nacional Pacaya Samiria,Iquitos,2025-08-22,12,3498.01,Avión
V0242,Argentina,36,Otro,Cañón del Colca,Arequipa,2025-09-26,10,624.7,Tren
V0243,México,30,F,Río Amazonas,Iquitos,2025-04-14,8,4738.93,Bus
V0244,Perú,72,Otro,Sacsayhuamán,Cusco,2025-02-01,,,Mototaxi
V0245,Brasil,59,F,Parque de la Reserva,Lima,2025-07-11,3,3393.36,Mototaxi
V0246,Colombia,56,F,Barranco,Lima,2025-06-03,2,2035.08,Bus
V0247,México,,M,Taquile,Puno,2025-03-17,10,4253.23,Bus
V0248,México,30,M,Valle Sagrado,Cusco,2025-07-16,2,2444.74,Auto
V0249,España,55,M,Reserva Nacional Pacaya Samiria,Iquitos,2025-03-12,3,568.37,
V0250,Chile,64,F,Huaca Pucllana,Lima,2025-09-24,2,4496.08,Mototaxi
V0251,Perú,28,F,Monasterio de Santa Catalina,Arequipa,2025-04-05,2,2143.36,Avión
V0252,Colombia,25,Otro,Parque de la Reserva,Lima,2025-04-21,9,427.36,
V0253,Perú,79,F,Malecón Tarapacá,Iquitos,2025-06-27,7,1358.02,Mototaxi
V0254,Chile,45,Otro,Río Amazonas,Iquitos,2025-09-10,1,3616.67,
V0255,NA,45,Otro,Islas Flotantes Uros,Puno,2025-09-15,7,1580.11,
V0256,México,25,Otro,Valle Sagrado,Cusco,2025-08-22,8,3562.37,Auto
V0257,España,29,Otro,Machu Picchu,Cusco,2025-03-17,3,2850.51,
V0258,Argentina,49,M,Monasterio de Santa Catalina,Arequipa,2025-02-26,14,1443.51,
V0259,Colombia,77,Otro,Barranco,Lima,2025-02-15,11,2326.42,Tren
V0260,NA,71,Otro,Valle Sagrado,Cusco,2025-05-25,2,906.75,NA
V0261,Perú,16,Otro,Barranco,Lima,2025-05-21,2,693.18,Auto
V0262,Brasil,62,M,Reserva Nacional Pacaya Samiria,Iquitos,2025-08-07,8,1923.82,Avión
V0263,Chile,74,M,Río Amazonas,Iquitos,2025-09-14,8,1971.74,
V0264,Brasil,18,M,Machu Picchu,Cusco,2025-01-04,1,4175.69,Mototaxi
V0265,Chile,22,Otro,Taquile,Puno,2025-08-14,2,4281.03,Bus
V0266,NA,,M,Machu Picchu,Cusco,2025-04-06,9,345.86,NA
V0267,Colombia,45,Otro,Monasterio de Santa Catalina,Arequipa,2025-04-17,1,484.87,
V0268,Brasil,46,M,Lago Titicaca,Puno,2025-03-27,5,3358.89,Auto
V0269,México,27,F,Barranco,Lima,2025-03-31,9,4950.86,Bus
V0270,Brasil,64,F,Islas Flotantes Uros,Puno,2025-09-05,4,1805.4,Tren
V0271,España,80,F,Taquile,Puno,2025-05-07,,,Mototaxi
V0272,Chile,76,Otro,Taquile,Puno,2025-02-28,12,587.62,Tren
V0273,Estados Unidos,31,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-08-10,6,989.79,Mototaxi
V0274,Brasil,51,Otro,Valle Sagrado,Cusco,2025-07-24,1,812.29,Bus
V0275,Argentina,61,F,Barranco,Lima,2025-03-17,12,495.66,Avión
V0276,Colombia,80,F,Parque de la Reserva,Lima,2025-07-29,9,2433.79,NA
V0277,Chile,76,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-01-02,8,4381.83,Mototaxi
V0278,Colombia,38,M,Lago Titicaca,Puno,2025-07-18,4,2494.05,NA
V0279,España,78,F,Parque de la Reserva,Lima,2025-07-30,11,2613.35,NA
V0280,España,48,M,Valle Sagrado,Cusco,2025-09-11,6,1705.51,
V0281,México,52,Otro,Río Amazonas,Iquitos,2025-02-28,13,1895.49,Avión
V0282,Argentina,59,M,Plaza de Armas,Arequipa,2025-06-21,10,3065.49,NA
V0283,NA,62,F,Malecón Tarapacá,Iquitos,2025-03-22,5,3388.35,Tren
V0284,Estados Unidos,77,Otro,Taquile,Puno,2025-09-16,3,4640.63,Avión
V0285,NA,27,M,Sacsayhuamán,Cusco,2025-05-03,,,
V0286,Chile,36,M,Lago Titicaca,Puno,2025-05-08,2,3995.72,Auto
V0287,España,71,Otro,Parque de la Reserva,Lima,2025-04-02,11,3725.23,Mototaxi
V0288,México,76,F,Río Amazonas,Iquitos,2025-02-18,11,2124.06,Bus
V0289,Colombia,17,M,Barranco,Lima,2025-01-18,13,2669.59,Avión
V0290,México,70,Otro,Río Amazonas,Iquitos,2025-03-13,11,3010.05,Avión
V0291,Colombia,69,F,Río Amazonas,Iquitos,2025-06-09,7,3995.91,Bus
V0292,Brasil,62,F,Río Amazonas,Iquitos,2025-07-21,9,2006.88,Mototaxi
V0293,Estados Unidos,70,Otro,Cañón del Colca,Arequipa,2025-08-11,1,3715.02,Avión
V0294,México,62,F,Plaza de Armas,Arequipa,2025-01-22,12,3102.43,Bus
V0295,Chile,68,F,Machu Picchu,Cusco,2025-05-13,10,3499.83,NA
V0296,México,19,F,Islas Flotantes Uros,Puno,2025-09-25,5,860.22,NA
V0297,NA,18,Otro,Reserva Nacional Pacaya Samiria,Iquitos,2025-02-26,,,Bus
V0298,Estados Unidos,23,M,Barranco,Lima,2025-05-11,2,4738.31,Auto
V0299,Estados Unidos,64,M,Sacsayhuamán,Cusco,2025-07-16,,,NA
V0300,Chile,53,F,Islas Flotantes Uros,Puno,2025-05-10,1,3166.07,Tren
V0301,México,74,M,Malecón Tarapacá,Iquitos,2025-03-20,,,Avión
V0302,Chile,34,M,Lago Titicaca,Puno,2025-01-08,1,326.26,Bus
V0303,Brasil,16,M,Huaca Pucllana,Lima,2025-03-04,13,1606.46,Bus
V0304,Brasil,44,F,Monasterio de Santa Catalina,Arequipa,2025-09-15,,,Avión
V0305,Estados Unidos,67,F,Huaca Pucllana,Lima,2025-05-29,5,1538.43,Bus
V0306,Chile,16,F,Sacsayhuamán,Cusco,2025-05-21,2,3991.63,Avión
V0307,México,42,M,Río Amazonas,Iquitos,2025-07-21,4,1362.42,Auto
V0308,México,21,F,Río Amazonas,Iquitos,2025-07-21,11,2157.99,Auto
V0309,España,34,F,Lago Titicaca,Puno,2025-04-25,,,NA
